Valor nulo: -9999.9														
Fecha (GMT)	Altura Signif. del Oleaje(m)	Periodo Medio(s)	Periodo de Pico(s)	Direcc. Media de Proced.(0=N,90=E)	Mar de viento:  Altura signif. Espectral(m)	Mar de viento: Direcc. Media de Proced.(0=N,90=E)	Mar de fondo 1:  Altura signif. Espectral(m)	Mar de fondo 1:  Periodo Medio Espectral(s)	Mar de fondo 1: Direcc. Media de Proced.(0=N,90=E)	Mar de fondo 2:  Altura signif. Espectral(m)	Mar de fondo 2:  Periodo Medio Espectral(s)	Mar de fondo 2: Direcc. Media de Proced.(0=N,90=E)	Velocidad del viento(m/s)	Direc. de proced. del Viento(0=N,90=E)
2023 01 06 04	0.06	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	2.85	359
2023 01 06 05	0.06	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	3.02	10
2023 01 06 06	0.06	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	3.59	12
2023 01 06 07	0.07	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	4.16	16
2023 01 06 08	0.07	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	3.83	17
2023 01 06 09	0.06	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	3.33	16
2023 01 06 10	0.07	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	2.66	12
2023 01 06 11	0.07	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	0.21	134
2023 01 06 12	0.09	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	3.31	233
2023 01 06 13	0.12	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	2.01	294
2023 01 06 14	0.15	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	0.87	207
2023 01 06 15	0.18	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	3.1	202
2023 01 06 16	0.21	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	3.84	194
2023 01 06 17	0.23	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	4.93	237
2023 01 06 18	0.24	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	4.68	21
2023 01 06 19	0.24	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	3.9	1
2023 01 06 20	0.24	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	4.22	354
2023 01 06 21	0.24	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	4.25	354
2023 01 06 22	0.25	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	3.67	352
2023 01 06 23	0.27	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	3.03	348
